
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.6.188:53382     39.107.192.243:443     CLOSE_WAIT      13064
  TCP    172.16.6.188:53415     123.57.223.58:443      CLOSE_WAIT      13064
  TCP    172.16.6.188:53423     218.92.226.154:443     CLOSE_WAIT      3844
  TCP    172.16.6.188:53501     115.190.210.86:443     CLOSE_WAIT      26988
  TCP    172.16.6.188:53562     121.228.130.71:443     ESTABLISHED     24868
  TCP    172.16.6.188:53616     220.181.174.34:443     TIME_WAIT       0
  TCP    172.16.6.188:53776     183.47.113.158:443     ESTABLISHED     24868
  TCP    172.16.6.188:53791     101.91.37.37:443       ESTABLISHED     24868
  TCP    172.16.6.188:53825     8.140.217.18:443       ESTABLISHED     24868
  TCP    172.16.6.188:53848     104.26.9.108:443       ESTABLISHED     24556
  TCP    172.16.6.188:53863     39.105.32.31:443       CLOSE_WAIT      3844
  TCP    172.16.6.188:53866     39.107.193.14:443      CLOSE_WAIT      3844
  TCP    172.16.6.188:53869     58.222.29.218:443      TIME_WAIT       0
  TCP    172.16.6.188:53873     125.39.152.170:43651   ESTABLISHED     24868
  TCP    172.16.6.188:53874     222.188.8.48:443       TIME_WAIT       0
  TCP    172.16.6.188:53875     58.222.29.218:443      TIME_WAIT       0
  TCP    172.16.6.188:53876     221.229.77.40:443      TIME_WAIT       0
  TCP    172.16.6.188:53878     58.222.29.213:443      TIME_WAIT       0
  TCP    172.16.6.188:53881     125.39.152.170:43651   TIME_WAIT       0
  TCP    172.16.6.188:53886     180.112.45.178:443     TIME_WAIT       0
  TCP    172.16.6.188:53890     101.91.19.71:443       ESTABLISHED     24868
  TCP    172.16.6.188:53892     58.222.51.82:443       ESTABLISHED     24868
  TCP    172.16.6.188:53894     121.229.93.60:443      ESTABLISHED     24868
  TCP    172.16.6.188:53896     202.102.11.134:443     ESTABLISHED     24868
  TCP    172.16.6.188:53900     58.222.35.87:443       TIME_WAIT       0
  TCP    172.16.6.188:53902     125.39.152.170:43651   TIME_WAIT       0
  TCP    172.16.6.188:53910     58.222.35.86:443       ESTABLISHED     24868
  TCP    172.16.6.188:53912     117.92.245.197:443     ESTABLISHED     24868
  TCP    172.16.6.188:53913     180.112.45.181:443     ESTABLISHED     21640
  TCP    172.16.6.188:53914     180.112.50.69:443      TIME_WAIT       0
  TCP    172.16.6.188:53915     58.222.29.218:443      TIME_WAIT       0
  TCP    172.16.6.188:53916     101.201.58.236:80      ESTABLISHED     3844
  TCP    172.16.6.188:53917     180.112.50.69:443      ESTABLISHED     21640
  TCP    172.16.6.188:53918     180.112.50.69:443      ESTABLISHED     25844
  TCP    172.16.6.188:53919     180.112.50.69:443      ESTABLISHED     25844
  TCP    172.16.6.188:53920     180.112.50.69:443      ESTABLISHED     25844
  TCP    172.16.6.188:53921     221.231.83.102:443     TIME_WAIT       0
  TCP    172.16.6.188:53923     58.222.35.82:443       TIME_WAIT       0
  TCP    172.16.6.188:53925     125.39.152.170:43651   TIME_WAIT       0
  TCP    172.16.6.188:53927     58.222.35.82:443       ESTABLISHED     24868
  TCP    172.16.6.188:53929     58.222.29.218:443      TIME_WAIT       0
  TCP    172.16.6.188:54217     61.147.216.56:443      CLOSE_WAIT      15768
  TCP    172.16.6.188:54301     101.126.24.53:443      CLOSE_WAIT      15768
